"name","instanceType","label","description","id","parameterMap","uuid:ID"
"IE_Dict","SyntaxTemplateDictionary","IE Dictionary","Dictionary for IE","SyntaxTemplateDictionary_1","{'min_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""minValue""></usdm:ref>', 'max_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""maxValue""></usdm:ref>', 'StudyPopulation': '<usdm:ref klass=""StudyDesignPopulation"" id=""StudyDesignPopulation_1"" attribute=""description""></usdm:ref>'}","a1f7deb4-efc6-4a96-8f29-1abe1b77d569"
"AS_Dict","SyntaxTemplateDictionary","Assessment Dictionary","Dictionary for Study Assessments","SyntaxTemplateDictionary_2","{'Activity1': '<usdm:ref klass=""Activity"" id=""Activity_6"" attribute=""label""></usdm:ref>', 'Activity2': '<usdm:ref klass=""Activity"" id=""Activity_5"" attribute=""label""></usdm:ref>'}","8629ca9c-5b95-4252-8430-1d7009af912f"
