"instanceType","id","uuid:ID","otherReason"
"StudyAmendmentReason","StudyAmendmentReason_1","592b2739-b58b-457a-8038-91e27b6f9f74",""
"StudyAmendmentReason","StudyAmendmentReason_2","17bc634e-c7c4-4df7-a3c6-95f1621348d2","Fix typographical errors"
