"id","otherReason","instanceType","uuid:ID"
"StudyAmendmentReason_1","","StudyAmendmentReason","378689bb-33c4-45f8-b6b9-7853f40a91b3"
"StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason","3e31784a-f0ac-4c31-bbf3-078af5e2a327"
