"description","label","uuid:ID","instanceType","name","id"
"Dictionary for IE","IE Dictionary","ae7b8988-c8ea-43d9-8093-98e8e88be661","SyntaxTemplateDictionary","IE_Dict","SyntaxTemplateDictionary_1"
"Dictionary for Study Assessments","Assessment Dictionary","5f90fd53-b3de-4382-a80e-f84f76571600","SyntaxTemplateDictionary","AS_Dict","SyntaxTemplateDictionary_2"
