"instanceType","otherReason","id","uuid:ID"
"StudyAmendmentReason","","StudyAmendmentReason_1","67486098-5e69-4c52-83ba-7007e143f541"
"StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2","a539230e-a731-4738-87fb-ebf2090b0cea"
