"maxValue","uuid:ID","minValue","instanceType","isApproximate","id"
"300.0","a24c073c-4ea5-4264-8961-d83dcd9d7c70","300.0","Range","False","Range_2"
"300.0","7ac9383f-3ada-43c4-bab8-26d8bf0141b7","300.0","Range","False","Range_1"
"100.0","77112569-7ba7-4c0b-a764-f9148544cd03","50.0","Range","False","Range_3"
