"id:ID","id","name","parameterMap","uuid","text","label","description"
"818","SyntaxTemplateDictionary_1","IE_Dict","{'min_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMinimumAgeOfParticipants'}, 'max_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMaximumAgeOfParticipants'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'populationDescription'}}","12f29f7a-03ca-4e3b-92aa-c1c774847bf4","","IE Dictionary","Dictionary for IE"
"819","SyntaxTemplateDictionary_2","AS_Dict","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","f327a3fb-cc7c-4ada-aaa8-984fe782e62c","","Assessment Dictionary","Dictionary for Study Assessments"
