"isApproximate","maxValue","minValue","instanceType","uuid:ID","id"
"False","300.0","300.0","Range","3fb1eed4-d585-41f2-b308-51a1dee557e5","Range_2"
"False","300.0","300.0","Range","f881d2b2-802e-4a9e-b9d1-c1b5e2143191","Range_1"
"False","100.0","50.0","Range","8c60c893-b8e5-429f-8ef0-2c3643eb002d","Range_3"
