"otherReason","instanceType","uuid:ID","id"
"","StudyAmendmentReason","56636ef8-cfb2-4172-a871-2a2c962a77fb","StudyAmendmentReason_1"
"Fix typographical errors","StudyAmendmentReason","b3bfe1ad-aa08-4fd0-bd4b-7e905c3fa7be","StudyAmendmentReason_2"
