"id","otherReason","uuid:ID"
"StudyAmendmentReason_1","","93053558-1200-40a2-ab1d-445bda4bd0c9"
"StudyAmendmentReason_2","Fix typographical errors","8eb0b9d1-0f0d-4208-970e-47d21c99798f"
