"description","name","label","id","dataOriginDescription","uuid:ID"
"Active Substance","Active","","StudyArm_1","Data collected from subjects","0443d3b2-0a6a-4542-8ecf-96413c97083a"
"Placebo","Placebo","","StudyArm_2","Data collected from subjects","7c2a33ed-deab-4261-91b7-fdeae6e31a73"
