"minValue","id","maxValue","uuid:ID","isApproximate"
"120.0","Range_2","120.0","88ee2f2f-b839-4a1e-910a-ba19a8da42ee","False"
"100.0","Range_1","100.0","496199dc-48cc-4ec6-b65f-0ae6b93ab620","False"
