"name","uuid:ID","id","text"
"AP_1","904dd6c6-9f40-4080-9512-ab946d7e7c78","AnalysisPopulation_1","ITT"
"AP_4","6f4af472-fadb-4ebc-b8b1-dcd723d9897f","AnalysisPopulation_2","ITT"
