"id:ID","uuid","id"
"721","42cd9be0-210a-469e-9807-2fd70104d210","StudyCell_1"
"722","7d9ec047-8f19-43d3-a4a5-5a800ef5cc55","StudyCell_2"
"723","2a820a5e-d6b5-45f2-885a-e1f564b00aa4","StudyCell_3"
"724","698b0ade-6075-43cb-bb2d-29b2881dc1bd","StudyCell_4"
"725","ea4cc973-1e1f-451a-927d-1d1142b804da","StudyCell_5"
"726","d54c2dfe-0913-47f0-b29e-01600f6fbf6a","StudyCell_6"
"727","41cdf222-cd9d-4abe-ae6b-34e0827a3b3c","StudyCell_7"
"728","13d81996-0a90-49ac-bf5e-e19de4836a1e","StudyCell_8"
"729","dfe44fea-540a-443a-ac8b-851241244c4d","StudyCell_9"
"730","3ec5f48e-6e56-4714-9031-de676293d04c","StudyCell_10"
"731","d9b74d17-c8fa-4032-88d5-4bb5a7c5901f","StudyCell_11"
"732","970ed449-fd3a-40e8-962a-62241160b76c","StudyCell_12"
"733","c9f5a087-6137-4061-80d3-41aa7ae5a983","StudyCell_13"
"734","5bd97a49-818e-4a6a-b1ed-51af4fabfcc2","StudyCell_14"
"735","e6db7a2f-de9a-415e-a4b9-64df946aa0c7","StudyCell_15"
