"id:ID","uuid","id","standardCodeAliases"
"314","14b28968-1871-428c-aeb5-39d3b24e7a27","AliasCode_1","[]"
"315","aa01d4f6-9fbb-4269-a203-c3ec145803ad","AliasCode_3","[]"
"316","6b16f7bd-167b-4cbd-a33a-a72e0a8aa6bb","AliasCode_4","[]"
"317","a0c966bd-c148-4394-b07b-8160d860b40a","AliasCode_109","[]"
"318","42fcffb3-ddf8-47c8-a953-8881f2f058a4","AliasCode_110","[]"
"319","9989469c-9bb0-49aa-81a1-24318ab07479","AliasCode_111","[]"
"320","5e329a8d-ac45-4f15-a334-2af9f35fe4d5","AliasCode_108","[]"
"321","7b6bca2d-7fcd-4919-9d45-2c9c4e3e952a","AliasCode_113","[]"
"322","aad03d6e-f589-44bc-972c-5a9e4d2670c8","AliasCode_114","[]"
"323","4dad0f5d-d9a3-4559-b573-974434cc96a5","AliasCode_112","[]"
"324","f0ccb4fd-1ca7-4489-a196-4e5e28816679","AliasCode_116","[]"
"325","446daef4-9490-44e4-8fd9-23219815260d","AliasCode_117","[]"
"326","47a651bc-cc75-456b-acab-98acf0f6a94e","AliasCode_115","[]"
"327","772fed68-ee58-4f08-839b-96e3233cd651","AliasCode_119","[]"
"328","602df703-d928-4cfe-a15d-03a48163ab37","AliasCode_120","[]"
"329","c7c0fe55-64f7-4fb0-8f02-de3a48af1582","AliasCode_121","[]"
"330","9a9ea8a2-96a9-4935-9173-c06200bf57bc","AliasCode_122","[]"
"331","35836aba-1717-434c-81c8-68f68bd236f4","AliasCode_118","[]"
"332","f3410571-b773-4b3b-87f6-e4d5c492b3e5","AliasCode_124","[]"
"333","6de81408-9aec-41e8-a767-4307ffb16653","AliasCode_125","[]"
"334","fb0fa649-52ca-466a-ad87-34dae34187aa","AliasCode_126","[]"
"335","4a5e2786-2933-4622-ab84-d16270c99424","AliasCode_127","[]"
"336","1a58e0d8-6000-483b-a08f-2dd1ee38aec1","AliasCode_123","[]"
"337","90151c6f-270e-4338-8dac-95824449b633","AliasCode_129","[]"
"338","e6544f31-79c0-42bb-8fd6-8f18fbc072e0","AliasCode_130","[]"
"339","d981183e-9aa9-44b3-9157-51f5c214f428","AliasCode_131","[]"
"340","e1c2b381-0167-494f-803b-d95062de28e4","AliasCode_132","[]"
"341","9aaa2fb3-1d03-439b-b336-344b1a4e0034","AliasCode_128","[]"
"342","c42e9ebf-fc92-4fc4-af69-96413107b6bc","AliasCode_134","[]"
"343","4f579372-4e52-4449-93f0-7d62bbe113c9","AliasCode_135","[]"
"344","ada6aff2-0958-4c96-8f79-479f757ee695","AliasCode_136","[]"
"345","4dc3e836-75e3-4bfa-a1e3-3b605287e04a","AliasCode_137","[]"
"346","c16b66d2-6fa7-4125-9587-4b1c6f95abf9","AliasCode_133","[]"
"347","174d8cf2-b467-4d27-a5a1-a9e72233aa95","AliasCode_139","[]"
"348","fc927340-bde4-4005-a4c8-05a268543421","AliasCode_140","[]"
"349","ae0f17ea-8941-4ccf-adad-73d2b292beed","AliasCode_141","[]"
"350","968f4000-d52c-4545-9c1c-9b4a4e1a03c6","AliasCode_142","[]"
