"isEnabled","datatype","id","isRequired","instanceType","uuid:ID","name","label"
"True","text","BiomedicalConceptProperty_116","True","BiomedicalConceptProperty","71b996d9-c3f0-4bc5-a8d6-66a37aa2aad5","DSDECOD","DSDECOD"
"True","text","BiomedicalConceptProperty_117","True","BiomedicalConceptProperty","8fda0535-3fc0-4846-a61b-07fc034e5638","DSTERM","DSTERM"
"True","datetime","BiomedicalConceptProperty_118","True","BiomedicalConceptProperty","fc9756f3-5b6a-47c8-afdc-7b695453aa0d","DSSTDTC","DSSTDTC"
"True","string","BiomedicalConceptProperty_119","True","BiomedicalConceptProperty","4ebb477d-ae32-4c8c-a8eb-b9df95819ecf","Sex","Sex"
"True","string","BiomedicalConceptProperty_120","True","BiomedicalConceptProperty","50c0a4ba-49fd-4189-b84e-6cee46740a56","Race","Race"
"True","","BiomedicalConceptProperty_121","True","BiomedicalConceptProperty","9714af6a-becc-4aa2-a03e-45127c1124b7","VSTESTCD","VSTESTCD"
"True","float","BiomedicalConceptProperty_122","True","BiomedicalConceptProperty","12f002d2-5db7-4b16-b596-87aa7fbf854c","VSORRES","VSORRES"
"True","","BiomedicalConceptProperty_123","True","BiomedicalConceptProperty","a8879773-e483-4d1e-b2d2-91a1bca20af6","VSORRESU","VSORRESU"
"True","","BiomedicalConceptProperty_124","True","BiomedicalConceptProperty","7977d545-bbd5-429a-aba9-bc0525f133c1","VSLOC","VSLOC"
"True","","BiomedicalConceptProperty_125","True","BiomedicalConceptProperty","a4a73d3e-14b8-4af4-b106-efaf1d81feb1","VSTESTCD","VSTESTCD"
"True","float","BiomedicalConceptProperty_126","True","BiomedicalConceptProperty","c660f574-7a5d-4c3c-b7d6-4f7f903eb8b1","VSORRES","VSORRES"
"True","","BiomedicalConceptProperty_127","True","BiomedicalConceptProperty","73a352ae-6802-45fc-8e76-eefc247d69ed","VSORRESU","VSORRESU"
"True","","BiomedicalConceptProperty_128","True","BiomedicalConceptProperty","54320053-b1f5-461e-81f1-5f9fba34c6ff","VSTESTCD","VSTESTCD"
"True","float","BiomedicalConceptProperty_129","True","BiomedicalConceptProperty","d6557494-c17b-445e-a9d3-4f192191c9db","VSORRES","VSORRES"
"True","","BiomedicalConceptProperty_130","True","BiomedicalConceptProperty","cdf76db8-6f14-4446-ad26-1ddf5db4f128","VSORRESU","VSORRESU"
"True","","BiomedicalConceptProperty_131","True","BiomedicalConceptProperty","1bcdc029-2eb3-41cd-9f2a-d665745ed4da","LBTESTCD","LBTESTCD"
"True","float","BiomedicalConceptProperty_132","True","BiomedicalConceptProperty","74bd8938-3399-4204-bb5c-106475479638","LBORRES","LBORRES"
"True","","BiomedicalConceptProperty_133","True","BiomedicalConceptProperty","7ceaf68c-4231-41d8-a699-839baa70ae3e","LBORRESU","LBORRESU"
