"id","otherReason","instanceType","uuid:ID"
"StudyAmendmentReason_1","","StudyAmendmentReason","5950ab30-4ea8-403f-bd23-392986458f66"
"StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason","5781b09f-71f8-4947-b0cc-041cce8cd924"
