"id","instanceType","uuid:ID","name","dateValue","label","description"
"GovernanceDate_1","GovernanceDate","b0dbf93e-a4e3-454e-94c5-3e7e2b0e13ba","D_APPROVE","2006-06-01","Design Approval","Design approval date"
"GovernanceDate_2","GovernanceDate","7d81a31e-95a6-4ded-8f24-4f0100657017","P_APPROVE","2006-07-01","Protocol Approval","Protocol document approval date"
