"id","isApproximate","maxValue","instanceType","uuid:ID","minValue"
"Range_2","False","300.0","Range","9a399dc6-2719-4068-a3dd-fc82df4dbebc","300.0"
"Range_1","False","300.0","Range","d73bb1cb-4979-42b6-b983-87e781789224","300.0"
"Range_3","False","100.0","Range","ed162a6e-aa90-4c47-a422-213e53434dd1","50.0"
