"codeSystem","id","instanceType","uuid:ID","code","codeSystemVersion","decode"
"http://www.cdisc.org","Code_1","Code","250806d7-ef9b-4a84-8da6-d05e79541a37","C98388","2023-12-15","Interventional Study"
"http://www.cdisc.org","Code_2","Code","8b021f3c-4456-4400-bdca-f41a7227aa6c","C15601","2023-12-15","Phase II Trial"
"http://www.cdisc.org","Code_9","Code","eef2033e-4fa3-4443-815c-b717aadd9e76","C132352","2023-12-15","Sponsor Approval Date"
"http://www.cdisc.org","Code_10","Code","2a416c98-1963-4245-a693-a00f82a070c9","C68846","2023-12-15","Global"
"http://www.cdisc.org","Code_72","Code","202042d9-148a-4403-b0d3-9d9091b093e0","C99904x3","2023-12-15","IRB/IEC Feedback"
"http://www.cdisc.org","Code_73","Code","3647a3cf-376a-4ed6-a176-db355ca4943c","C17649","2023-12-15","Other"
"http://www.cdisc.org","Code_75","Code","fca98e7f-8d67-41a9-b3c3-0054228a1511","C41129","2023-12-15","Region"
"ISO 3166 1 alpha3","Code_74","Code","4a2ea2a5-1944-420d-9873-9b9de663ce88","150","2020-08","Europe"
"SPONSOR","Code_4","Code","0f120adb-4da6-4c96-a632-5fc070e508c2","PHARMA","12","Eli Lilly"
"http://www.cdisc.org","Code_76","Code","f00ac9f3-2eac-4bac-98e6-5d2fb3c1594e","C70793","2023-12-15","Clinical Study Sponsor"
"ISO 3166 1 alpha3","Code_77","Code","92c15121-449c-47ea-b0ff-921d722618d1","USA","2020-08","United States of America"
"http://www.cdisc.org","Code_78","Code","c0282a85-2e31-43c5-a590-9c56615b1b14","C93453","2023-12-15","Study Registry"
"ISO 3166 1 alpha3","Code_79","Code","a7b70d77-6ad2-4288-be66-baebb48cd1a0","USA","2020-08","United States of America"
"http://www.cdisc.org","Code_137","Code","41232fa8-1c21-4c51-95ec-96b06101b28c","C49656","2023-12-15","Treatment Study"
"http://www.cdisc.org","Code_138","Code","67f045ad-b988-4cdd-9ca1-00fd7ab178c5","C49666","2023-12-15","Efficacy Study"
"http://www.cdisc.org","Code_139","Code","78c6a566-6e9c-402a-a4c9-e5b75b9e2038","C49667","2023-12-15","Safety Study"
"http://www.cdisc.org","Code_140","Code","1453d16c-3993-4f37-9848-86b2cc84fb6e","C49663","2023-12-15","Pharmacokinetic Study"
"SPONSOR","Code_134","Code","22b9ed17-2a9b-411b-b264-95d560078b3c","MILD_MOD_ALZ","12","Mild to Moderate Alzheimer's Disease"
"SNOMED","Code_135","Code","7a29e8eb-6316-41ef-9543-56e1611109d2","26929004","January 31, 2018","Alzheimer's disease"
"http://www.cdisc.org","Code_143","Code","b54f5ef7-8831-495e-9c3f-058248e8b243","C99907x1","2023-12-15","EXTENSION"
"http://www.cdisc.org","Code_144","Code","57761499-4262-48db-89c3-8c860ff5d149","C98704","2023-12-15","ADAPTIVE"
"http://www.cdisc.org","Code_141","Code","ce0fbcc9-3511-4b1a-b575-3729bc426cda","C82639","2023-12-15","Parallel Study"
"http://www.cdisc.org","Code_83","Code","a5729f33-e3c1-40f4-ba2a-5c96359d782b","C25716","2023-12-15","Visit"
"http://www.cdisc.org","Code_84","Code","95099aa9-6cb9-45db-bff8-57ae756f6fc3","C51282","2023-12-15","Clinic"
"http://www.cdisc.org","Code_85","Code","8a8d6c0b-0f90-4c50-9e71-1fd29b1300e9","C175574","2023-12-15","In Person"
"http://www.cdisc.org","Code_86","Code","558cfdce-a3f2-48b8-a3a2-0d71d4cf0225","C25716","2023-12-15","Visit"
"http://www.cdisc.org","Code_87","Code","a1d70376-8fb3-4e1d-8dbd-b3f7e548dd99","C51282","2023-12-15","Clinic"
"http://www.cdisc.org","Code_88","Code","da6064e6-41c0-402a-9be7-a904def8a18d","C175574","2023-12-15","In Person"
"http://www.cdisc.org","Code_89","Code","410a055c-a7dd-43a3-b4e0-87b1eadb5e7a","C25716","2023-12-15","Visit"
"http://www.cdisc.org","Code_90","Code","eee7edf2-12b2-4b12-84c3-4fbbd3ed6c91","C51282","2023-12-15","Clinic"
"http://www.cdisc.org","Code_91","Code","db0108d0-6ebc-4356-9c01-25a19d9e0538","C175574","2023-12-15","In Person"
"http://www.cdisc.org","Code_92","Code","771e816f-d506-4fa4-8700-f3a41a95b1c7","C25716","2023-12-15","Visit"
"http://www.cdisc.org","Code_93","Code","7530b97b-d554-4f10-940d-70ae1bed6db1","C51282","2023-12-15","Clinic"
"http://www.cdisc.org","Code_94","Code","46c73a4a-b51d-4d55-b64b-6f5cdd681590","C175574","2023-12-15","In Person"
"http://www.cdisc.org","Code_95","Code","0521b6e4-7f9b-48bb-b91f-27bba4dd4d16","C25716","2023-12-15","Visit"
"http://www.cdisc.org","Code_96","Code","0fbf73e7-7b08-4b6f-a70c-00bae8528702","C51282","2023-12-15","Clinic"
"http://www.cdisc.org","Code_97","Code","1206915e-c105-44d7-83e0-4b2e8a038684","C175574","2023-12-15","In Person"
"http://www.cdisc.org","Code_98","Code","b04bded6-0d93-4cfc-8c2e-7f7c279bf390","C25716","2023-12-15","Visit"
"http://www.cdisc.org","Code_99","Code","b37c8361-7e15-4a28-996d-1d62d589d7a7","C51282","2023-12-15","Clinic"
"http://www.cdisc.org","Code_100","Code","adf7953e-1859-4c5c-ab27-2e5e7d11194f","C175574","2023-12-15","In Person"
"http://www.cdisc.org","Code_101","Code","ed166c92-f2ef-479c-883e-ed4dc56ae4c9","C25716","2023-12-15","Visit"
"http://www.cdisc.org","Code_102","Code","35d7cb97-f8d9-4dec-b3fd-f2ee123bdd9d","C51282","2023-12-15","Clinic"
"http://www.cdisc.org","Code_103","Code","bf7938f5-b7d4-4723-acf4-7b8f9593632b","C175574","2023-12-15","In Person"
"http://www.cdisc.org","Code_104","Code","b0be99e0-4eda-4f57-a863-1c7e6b607b82","C171537","2023-12-15","Telephone Call"
"http://www.cdisc.org","Code_105","Code","ba7af9d3-ad44-47b4-adf4-fb78f90078d8","C25716","2023-12-15","Visit"
"http://www.cdisc.org","Code_106","Code","47f0f883-f871-421a-8cab-9fe891d78acb","C51282","2023-12-15","Clinic"
"http://www.cdisc.org","Code_107","Code","9520fc6d-d72f-4510-802c-fec969b71f93","C175574","2023-12-15","In Person"
"http://www.cdisc.org","Code_108","Code","db237654-3015-429a-8c4b-0a47242d1aa5","C171537","2023-12-15","Telephone Call"
"http://www.cdisc.org","Code_109","Code","e0bd70a9-3fc1-4833-b198-120465c1823e","C25716","2023-12-15","Visit"
"http://www.cdisc.org","Code_110","Code","9f78656d-700a-4177-aa90-6c7cd6306da0","C51282","2023-12-15","Clinic"
"http://www.cdisc.org","Code_111","Code","be3780fd-a069-455f-9821-00f3ccd86170","C175574","2023-12-15","In Person"
"http://www.cdisc.org","Code_112","Code","2a6d8a29-9cb5-4100-954b-8e3c42499a7e","C171537","2023-12-15","Telephone Call"
"http://www.cdisc.org","Code_113","Code","1f2a1582-a31b-49b5-9dc8-02fc55bad3fe","C25716","2023-12-15","Visit"
"http://www.cdisc.org","Code_114","Code","fcbd999a-b54a-41fc-91df-9a4f59aa5ef9","C51282","2023-12-15","Clinic"
"http://www.cdisc.org","Code_115","Code","0007229e-2eb6-45d4-a3c2-a85fdf7447df","C175574","2023-12-15","In Person"
"http://www.cdisc.org","Code_116","Code","ec0166db-fb21-4e03-83af-5ecea645f1bf","C171537","2023-12-15","Telephone Call"
"http://www.cdisc.org","Code_117","Code","90fdf674-4cd8-4510-80a7-e0d4d6c646d7","C25716","2023-12-15","Visit"
"http://www.cdisc.org","Code_118","Code","42e28629-d827-404a-a45b-63a9e79a9d6a","C51282","2023-12-15","Clinic"
"http://www.cdisc.org","Code_119","Code","34d2b077-5015-48bc-8eb3-852207673975","C175574","2023-12-15","In Person"
"http://www.cdisc.org","Code_120","Code","72d4f549-e8ea-4db3-a618-077504c943e4","C25716","2023-12-15","Visit"
"http://www.cdisc.org","Code_121","Code","8fd84eaf-4f14-4ecc-b4e2-81a604a63fce","C51282","2023-12-15","Clinic"
"http://www.cdisc.org","Code_122","Code","b207ce22-4143-4603-b7ad-f4163286d6b0","C175574","2023-12-15","In Person"
"SNOMED","Code_80","Code","8ebed88d-e459-4cf4-ad4e-29024c6d602a","383371000119108","January 31, 2018","CT of head without contrast"
"SPONSOR","Code_81","Code","1622931a-45de-49c0-be65-31c936109ae5","123","12","Subject Supine"
"SPONSOR","Code_82","Code","675e2449-7448-4331-80e7-8565255f01d2","124","12","Subject Standing"
"http://www.cdisc.org","Code_429","Code","2bd84bbf-ee60-4dda-8d88-7708f430d7e6","C82977","2023-12-15","Dictionary-derived Term"
"http://www.cdisc.org","Code_430","Code","506ed8ea-62cb-457f-91d5-9037282367b7","C82571","2023-12-15","Reported Event Term"
"http://www.cdisc.org","Code_431","Code","f557e34c-d78c-4b72-8c4c-7924e1688b3d","C82517","2023-12-15","Observation Start Date Time"
"http://www.cdisc.org","Code_432","Code","afd19b7c-9c0f-43a5-bc76-fd453f26bf95","C16735","2023-12-15","Informed Consent"
"http://www.cdisc.org","Code_433","Code","5f54b6f4-cc41-4e17-af73-c400727188b7","C20197","2023-12-15","Male"
"http://www.cdisc.org","Code_434","Code","798b9c7d-a637-42c2-b5b8-8d3e3d03e6cb","C16576","2023-12-15","Female"
"http://www.cdisc.org","Code_435","Code","cfe8aa52-5522-4279-8a67-628bc7c843ad","C28421","2023-12-15","Sex"
"http://www.cdisc.org","Code_436","Code","f62fc5f0-82ca-4831-b1f8-856519bc8a7e","C28421","2023-12-15","Sex"
"http://www.cdisc.org","Code_437","Code","9b882171-7d19-44ea-9d33-f2132cbf892e","C17049","2023-12-15","Race"
"http://www.cdisc.org","Code_438","Code","e4a7fb5f-d1af-4266-9b93-9c02df6c2c8c","C17049","2023-12-15","Race"
