"instanceType","uuid:ID","otherReason","id"
"StudyAmendmentReason","c7d4584d-fa22-42ce-be12-b66b76a09fc1","","StudyAmendmentReason_1"
"StudyAmendmentReason","38176bc4-d6e2-4ad5-a694-d67e2e812304","Fix typographical errors","StudyAmendmentReason_2"
