"minValue","uuid:ID","maxValue","instanceType","isApproximate","id"
"300.0","dd117aba-50e8-4238-b988-379ec50510c2","300.0","Range","False","Range_2"
"300.0","8b7bbb13-ff82-4871-891d-43011607612e","300.0","Range","False","Range_1"
"50.0","1ef5a191-9397-4885-a8f5-e4e6d4839b3d","100.0","Range","False","Range_3"
