"name","uuid:ID","instanceType","description","label","id"
"IE_Dict","a29bcf96-33f4-41e5-af57-7fd2cc399dd1","SyntaxTemplateDictionary","Dictionary for IE","IE Dictionary","SyntaxTemplateDictionary_1"
"AS_Dict","a96bf2ab-4f5b-4224-8305-dbe5c8f3b6e4","SyntaxTemplateDictionary","Dictionary for Study Assessments","Assessment Dictionary","SyntaxTemplateDictionary_2"
