"responseCodeEnabled","id","uuid:ID"
"True","ResponseCode_17","f213d3c5-78db-4295-a33b-0ffd25ad5c64"
"True","ResponseCode_18","d09936fb-85c0-46d4-8d4a-c9d4b5f4c17b"
"True","ResponseCode_19","ca3398c2-356c-4554-a8fb-78981bc28295"
"True","ResponseCode_20","4616447b-113b-4630-bdee-5c4e39e78702"
"True","ResponseCode_21","1f3224ae-0d49-43eb-a0cd-c67081679798"
"True","ResponseCode_22","7e902abe-84df-4e18-9701-089f3f088738"
"True","ResponseCode_23","55238539-24fb-4475-bb32-517b58d9fb59"
"True","ResponseCode_24","f5ed2cd7-4351-48af-baba-50ef5e7a1f0d"
"True","ResponseCode_1","6558d5aa-458c-4814-9c15-c85d8f802bc4"
"True","ResponseCode_2","b235a586-d4a0-4e85-9f0d-a3c14ea43efd"
"True","ResponseCode_3","399b4e61-1325-48ea-a42f-705602d27834"
"True","ResponseCode_4","559a8ea9-f712-40d5-b66e-5672ca6031fd"
"True","ResponseCode_5","c16a9279-642d-4715-99e0-561159e51236"
"True","ResponseCode_6","65516b8e-3f80-49ef-a9cf-7f3479d98250"
"True","ResponseCode_7","fc460c38-a5bc-4c18-8321-9817f59f2892"
"True","ResponseCode_8","f01b2c87-1a27-4628-b698-7278bb04881e"
"True","ResponseCode_9","20a7926b-3564-4433-ae4d-29ce0337f86d"
"True","ResponseCode_10","6a63b221-95ed-4ca1-bb81-05acb0d3cc1e"
"True","ResponseCode_11","cb56b73f-8c61-4f7c-8a14-9622148a2b2b"
"True","ResponseCode_12","b02b9cf7-cbe2-4fd4-97cb-e96c95bd3749"
"True","ResponseCode_13","a4986be8-b51e-4fc2-a639-7755eab5d407"
"True","ResponseCode_14","970e5f2e-9d3c-459e-b477-7fe6a599e7a0"
"True","ResponseCode_15","dad948d5-f295-4c8e-a0cf-d7733ef2792b"
"True","ResponseCode_16","756e5093-6cd8-4803-98e1-c5b02a25876e"
